date,symbol,Short Percentage Of Float
01/12/04,BYFC,0.06
01/12/04,BYI,5.25
01/12/04,BZC,0.43
01/12/04,BZH,20.33
01/12/04,C,0.77
01/12/04,CA,2.78
01/12/04,CAA,2.73
01/12/04,CAC,0.41
01/12/04,CACB,2.6
01/12/04,CACC,2.39
01/12/04,CACH,0.26
01/12/04,CACI,2.29
01/12/04,CAG,1.48
01/12/04,CAH,2.56
01/12/04,CAKE,13.45
01/12/04,CAL,1.78
01/12/04,CALD,0.4
01/12/04,CALM,10.13
01/12/04,CAM,2.11
01/12/04,CAMP,1.52
01/12/04,CAMT,0.02
01/12/04,CAR,3.94
01/12/04,CARV,0.02
01/12/04,CASC,2.01
01/12/04,CASI,11.39
01/12/04,CASS,0.03
01/12/04,CASY,1.8
01/12/04,CAT,2.39
01/12/04,CATO,2.3
01/12/04,CATY,0.92
01/12/04,CAW,0.02
01/12/04,CB,1.32
01/12/04,CBAN,0.02
01/12/04,CBB,2.32
01/12/04,CBI,0.74
01/12/04,CBK,4.36
01/12/04,CBL,0.89
01/12/04,CBM,2.58
01/12/04,CBMX,2.65
01/12/04,CBRL,3.87
01/12/04,CBSH,0.76
01/12/04,CBST,14.33
01/12/04,CBT,1.22
01/12/04,CBU,0.83
01/12/04,CBZ,0.17
01/12/04,CCBG,1.53
01/12/04,CCC,2.84
01/12/04,CCE,1.23
01/12/04,CCF,0.03
01/12/04,CCI,2.87
01/12/04,CCK,1.52
01/12/04,CCL,1.7
01/12/04,CCMP,24.8
01/12/04,CCNE,2.12
01/12/04,CCOI,0.31
01/12/04,CCRN,14.62
01/12/04,CCUR,2.51
01/12/04,CDE,4.54
01/12/04,CDI,1.78
01/12/04,CDNS,5.49
01/12/04,CDR,0.12
01/12/04,CEB,5.4
01/12/04,CECE,0.01
01/12/04,CECO,6.17
01/12/04,CELG,6.19
01/12/04,CENT,2.25
01/12/04,CENX,1.76
01/12/04,CEQP,0.58
01/12/04,CERN,17.33
01/12/04,CERS,3.91
01/12/04,CETV,2.38
01/12/04,CEVA,0.66
01/12/04,CFBK,0.05
01/12/04,CFCB,0.01
01/12/04,CFFI,0.73
01/12/04,CFFN,1.71
01/12/04,CFI,1.19
01/12/04,CFNB,0.14
01/12/04,CFNL,1.27
01/12/04,CFR,0.67
01/12/04,CGEN,0.14
01/12/04,CGI,0.16
01/12/04,CGNT,0.27
01/12/04,CGNX,1.13
01/12/04,CHCO,1.35
01/12/04,CHD,2.19
01/12/04,CHDN,0.49
01/12/04,CHDX,1.8
01/12/04,CHE,2.54
01/12/04,CHFC,0.25
01/12/04,CHFN,0.49
01/12/04,CHH,0.5
01/12/04,CHK,5.84
01/12/04,CHKE,2.56
01/12/04,CHKP,2.8
01/12/04,CHMT,1.11
01/12/04,CHRW,1.76
01/12/04,CHS,21.95
01/12/04,CI,1.15
01/12/04,CIA,0.34
01/12/04,CIDM,0.09
01/12/04,CIEN,3.48
01/12/04,CIMT,0.16
01/12/04,CINF,1.28
01/12/04,CIR,0.27
01/12/04,CIVB,0.44
01/12/04,CIZN,0.08
01/12/04,CKEC,1.47
01/12/04,CKH,3.71
01/12/04,CKP,6.1
01/12/04,CKSW,0.07
01/12/04,CKX,0.17
01/12/04,CL,1.5
01/12/04,CLB,0.09
01/12/04,CLC,0.43
01/12/04,CLCT,0.08
